,order_id,order_datetime,customer_id,customer_city,restaurant_id,restaurant_name,cuisine,order_amount,discount_amount,distance_km,prep_time_mins,sugar_fee,delivery_time_mins,delivery_partner,rating,payment_method,delivery_status,customer_age_group,customer_type,customer_segment,customer_membership,restaurant_type,platform_fee,delivery_fee,coupon_code_used,is_first_order,order_date,order_month,order_weekday,order_hour,total_payable,expected_delivery_mins,delayed_mins,is_delayed,delivery_efficiency,order_value_bin,is_repeat_customer,is_first_order_binary
32,ORD00033,2024-01-16 23:10:00,CUST02748,Pune,REST007,Sweet Treats,Bakery,417,95,5.14,33,23,30,DP013,4,Card,Delayed,26-35,Returning,Budget,Normal,Dine-in,5,23,NONE,No,2024-01-16,2024-01,Tuesday,23,373,53.56,-23.560000000000002,0,5.84,Mid,1,0
33,ORD00034,2024-06-27 18:51:00,CUST00976,Delhi,REST090,Dragon Bowl,South Indian,1032,62,7.4,12,29,66,DP026,3,COD,Delayed,26-35,Returning,Budget,Normal,Dine-in,9,30,NONE,No,2024-06-27,2024-06,Thursday,18,1038,41.6,24.4,1,8.92,Very High,1,0
34,ORD00035,2024-12-09 14:14:00,CUST01807,Delhi,REST100,Spice Hub,South Indian,557,193,6.26,36,3,41,DP014,5,Card,Cancelled,26-35,New,Regular,Normal,Cloud Kitchen,3,38,FESTIVE30,Yes,2024-12-09,2024-12,Monday,14,408,61.04,-20.04,0,6.55,Mid,1,1
35,ORD00036,2024-04-15 15:38:00,CUST00190,Mumbai,REST138,Sweet Treats,Desserts,1210,271,2.43,27,1,29,DP035,5,COD,Delivered,18-25,New,Premium,Normal,Cloud Kitchen,14,10,NONE,Yes,2024-04-15,2024-04,Monday,15,964,36.72,-7.719999999999999,0,11.93,High,1,1
36,ORD00037,2024-11-01 10:47:00,CUST02735,Hyderabad,REST090,Sweet Treats,Biryani,617,89,1.05,26,19,76,DP041,1,UPI,Cancelled,36-45,New,Regular,Normal,Cloud Kitchen,6,32,NONE,Yes,2024-11-01,2024-11,Friday,10,585,30.2,45.8,1,72.38,High,1,1
37,ORD00038,2024-07-14 01:04:00,CUST00563,Pune,REST079,Sweet Treats,North Indian,408,271,8.36,19,5,20,DP006,3,COD,Delivered,36-45,New,Budget,Normal,Dine-in,9,13,FESTIVE30,Yes,2024-07-14,2024-07,Sunday,1,164,52.44,-32.44,0,2.39,Low,1,1
38,ORD00039,2024-02-24 16:48:00,CUST01900,Pune,REST200,Biryani House,Desserts,658,84,1.89,34,5,38,DP043,2,Card,Delivered,26-35,New,Budget,Normal,Dine-in,15,18,SAVE20,Yes,2024-02-24,2024-02,Saturday,16,612,41.56,-3.5600000000000023,0,20.11,High,1,1
39,ORD00040,2024-11-18 23:31:00,CUST01268,Chennai,REST039,Taste of India,Chinese,458,294,1.16,14,21,19,DP008,4,COD,Cancelled,46-60,Returning,Premium,Normal,Cloud Kitchen,11,32,NEW50,No,2024-11-18,2024-11,Monday,23,228,18.64,0.35999999999999943,0,16.38,Mid,0,0
40,ORD00041,2024-03-07 06:59:00,CUST02880,Mumbai,REST091,Sweet Treats,South Indian,1446,35,5.58,33,0,85,DP040,2,Card,Delayed,26-35,Returning,Premium,Normal,Dine-in,6,36,SAVE20,No,2024-03-07,2024-03,Thursday,6,1453,55.32,29.68,1,15.23,Very High,1,0
41,ORD00042,2024-09-19 21:05:00,CUST01529,Delhi,REST016,Burger Street,Chinese,774,17,8.99,38,10,67,DP047,1,COD,Delivered,26-35,New,Regular,Normal,Cloud Kitchen,9,30,NONE,Yes,2024-09-19,2024-09,Thursday,21,806,73.96000000000001,-6.960000000000008,0,7.45,High,1,1
42,ORD00043,2024-08-05 18:42:00,CUST00647,Delhi,REST175,Dragon Bowl,Biryani,259,76,9.34,24,22,45,DP015,4,Card,Delayed,26-35,New,Regular,Swiggy One,Franchise,6,11,SAVE20,Yes,2024-08-05,2024-08,Monday,18,222,61.36,-16.36,0,4.82,Mid,1,1
43,ORD00044,2024-03-14 12:23:00,CUST02069,Ahmedabad,REST016,Foodie's Corner,Biryani,828,48,10.54,29,22,49,DP008,5,COD,Cancelled,36-45,Returning,Premium,Normal,Franchise,4,24,TRYNEW,No,2024-03-14,2024-03,Thursday,12,830,71.16,-22.159999999999997,0,4.65,High,1,0
44,ORD00045,2024-05-19 00:37:00,CUST02889,Mumbai,REST019,Dragon Bowl,Italian,1433,235,2.79,27,28,33,DP045,3,UPI,Delivered,46-60,New,Budget,Normal,Franchise,14,16,TRYNEW,Yes,2024-05-19,2024-05,Sunday,0,1256,38.16,-5.159999999999997,0,11.83,Very High,1,1
45,ORD00046,2024-08-06 22:45:00,CUST02215,Hyderabad,REST146,Italiano Kitchen,Chinese,891,43,11.83,14,20,48,DP047,3,COD,Delivered,46-60,Returning,Regular,Normal,Dine-in,4,22,SAVE20,No,2024-08-06,2024-08,Tuesday,22,894,61.32,-13.32,0,4.06,High,1,0
46,ORD00047,2024-07-30 04:00:00,CUST01298,Chennai,REST127,Foodie's Corner,Biryani,1056,108,9.28,33,28,15,DP016,5,Card,Cancelled,46-60,Returning,Regular,Normal,Cloud Kitchen,9,39,NEW50,No,2024-07-30,2024-07,Tuesday,4,1024,70.12,-55.120000000000005,0,1.62,Very High,1,0
47,ORD00048,2024-04-07 12:43:00,CUST02436,Bangalore,REST103,Taste of India,Biryani,417,128,2.31,24,11,55,DP029,2,UPI,Cancelled,46-60,Returning,Regular,Normal,Franchise,6,31,TRYNEW,No,2024-04-07,2024-04,Sunday,12,337,33.24,21.759999999999998,1,23.81,Mid,1,0
48,ORD00049,2024-10-01 00:32:00,CUST00601,Mumbai,REST162,Sweet Treats,Biryani,1205,6,10.17,15,3,67,DP034,2,UPI,Delayed,46-60,Returning,Regular,Normal,Franchise,8,19,TRYNEW,No,2024-10-01,2024-10,Tuesday,0,1229,55.68,11.32,1,6.59,Very High,1,0
49,ORD00050,2024-11-22 07:40:00,CUST02364,Chennai,REST119,Biryani House,Desserts,1089,111,6.24,17,27,78,DP029,5,Card,Cancelled,26-35,New,Regular,Normal,Franchise,8,40,NONE,Yes,2024-11-22,2024-11,Friday,7,1053,41.96,36.04,1,12.5,Very High,1,1
50,ORD00051,2024-02-03 23:40:00,CUST02062,Pune,REST016,Spice Hub,Fast Food,960,212,1.27,36,15,54,DP035,5,Card,Delayed,46-60,Returning,Budget,Normal,Dine-in,4,22,NONE,No,2024-02-03,2024-02,Saturday,23,789,41.08,12.920000000000002,1,42.52,High,1,0
51,ORD00052,2024-05-30 13:26:00,CUST00242,Chennai,REST180,Dragon Bowl,Biryani,1350,65,2.02,12,26,76,DP048,3,COD,Delivered,46-60,Returning,Premium,Normal,Dine-in,11,15,NEW50,No,2024-05-30,2024-05,Thursday,13,1337,20.08,55.92,1,37.62,Very High,1,0
52,ORD00053,2024-07-13 15:42:00,CUST02042,Ahmedabad,REST126,Foodie's Corner,Biryani,253,30,5.49,14,18,69,DP010,2,UPI,Delayed,18-25,Returning,Premium,Normal,Franchise,12,32,NEW50,No,2024-07-13,2024-07,Saturday,15,285,35.96,33.04,1,12.57,Mid,1,0
53,ORD00054,2024-07-23 13:23:00,CUST02825,Kolkata,REST124,Sweet Treats,Chinese,1409,294,6.6,27,26,25,DP001,4,Card,Delivered,26-35,Returning,Premium,Swiggy One,Franchise,6,36,NEW50,No,2024-07-23,2024-07,Tuesday,13,1183,53.4,-28.4,0,3.79,Very High,1,0
54,ORD00055,2024-11-14 02:50:00,CUST02613,Delhi,REST197,Taste of India,South Indian,1266,264,11.4,37,10,66,DP005,4,COD,Delivered,26-35,New,Regular,Normal,Cloud Kitchen,3,20,TRYNEW,Yes,2024-11-14,2024-11,Thursday,2,1035,82.6,-16.599999999999994,0,5.79,Very High,1,1
55,ORD00056,2024-11-02 13:30:00,CUST02946,Ahmedabad,REST008,Spice Hub,Chinese,350,296,2.98,24,10,40,DP003,1,COD,Delivered,46-60,Returning,Budget,Normal,Dine-in,10,13,NEW50,No,2024-11-02,2024-11,Saturday,13,87,35.92,4.079999999999998,0,13.42,Low,1,0
56,ORD00057,2024-06-23 05:31:00,CUST01364,Bangalore,REST154,Burger Street,Chinese,1048,13,5.95,36,12,88,DP039,1,Card,Cancelled,46-60,Returning,Regular,Normal,Cloud Kitchen,13,37,TRYNEW,No,2024-06-23,2024-06,Sunday,5,1097,59.8,28.200000000000003,1,14.79,Very High,1,0
57,ORD00058,2024-06-19 20:21:00,CUST02140,Mumbai,REST138,Taste of India,Fast Food,892,57,3.1,21,12,62,DP050,1,UPI,Delayed,36-45,Returning,Regular,Normal,Franchise,6,12,SAVE20,No,2024-06-19,2024-06,Wednesday,20,865,33.4,28.6,1,20.0,High,1,0
58,ORD00059,2024-01-02 02:37:00,CUST01391,Ahmedabad,REST092,Biryani House,Fast Food,1074,241,6.92,28,7,59,DP014,2,Card,Delayed,46-60,Returning,Regular,Normal,Dine-in,14,27,NONE,No,2024-01-02,2024-01,Tuesday,2,881,55.68,3.3200000000000003,0,8.53,High,1,0
59,ORD00060,2024-07-15 13:22:00,CUST01479,Delhi,REST057,Spice Hub,Desserts,746,247,10.96,16,10,47,DP046,4,COD,Delayed,26-35,New,Regular,Normal,Cloud Kitchen,15,18,NEW50,Yes,2024-07-15,2024-07,Monday,13,542,59.84,-12.840000000000003,0,4.29,High,1,1
60,ORD00061,2024-01-17 20:29:00,CUST02557,Kolkata,REST060,Spice Hub,North Indian,1208,97,7.03,10,15,78,DP027,2,Card,Delayed,46-60,Returning,Premium,Normal,Cloud Kitchen,10,30,TRYNEW,No,2024-01-17,2024-01,Wednesday,20,1166,38.120000000000005,39.879999999999995,1,11.1,Very High,1,0
61,ORD00062,2024-05-10 05:38:00,CUST00776,Ahmedabad,REST182,Burger Street,South Indian,1290,161,6.37,33,12,23,DP046,5,COD,Delivered,36-45,New,Premium,Swiggy One,Dine-in,15,38,NEW50,Yes,2024-05-10,2024-05,Friday,5,1194,58.480000000000004,-35.480000000000004,0,3.61,Very High,1,1
62,ORD00063,2024-01-25 02:42:00,CUST00035,Kolkata,REST074,Sweet Treats,Biryani,837,246,9.13,30,23,16,DP029,3,Card,Delivered,18-25,Returning,Premium,Normal,Franchise,3,11,SAVE20,No,2024-01-25,2024-01,Thursday,2,628,66.52000000000001,-50.52000000000001,0,1.75,High,1,0
63,ORD00064,2024-03-09 14:54:00,CUST02254,Ahmedabad,REST101,Spice Hub,Desserts,1069,3,2.2,11,2,89,DP001,1,Card,Delayed,26-35,Returning,Budget,Normal,Dine-in,10,25,FESTIVE30,No,2024-03-09,2024-03,Saturday,14,1103,19.8,69.2,1,40.45,Very High,1,0
64,ORD00065,2024-07-08 15:00:00,CUST01956,Delhi,REST056,Foodie's Corner,North Indian,937,260,10.91,28,26,28,DP018,5,UPI,Cancelled,46-60,Returning,Budget,Swiggy One,Dine-in,8,15,FESTIVE30,No,2024-07-08,2024-07,Monday,15,726,71.64,-43.64,0,2.57,High,1,0
65,ORD00066,2024-07-01 02:31:00,CUST01586,Hyderabad,REST034,Spice Hub,Biryani,548,44,7.14,22,10,50,DP003,5,UPI,Cancelled,18-25,Returning,Regular,Normal,Dine-in,13,39,NEW50,No,2024-07-01,2024-07,Monday,2,566,50.56,-0.5600000000000023,0,7.0,High,1,0
66,ORD00067,2024-02-02 13:59:00,CUST01022,Chennai,REST096,Taste of India,Biryani,746,210,8.39,29,20,49,DP026,3,COD,Cancelled,18-25,Returning,Regular,Normal,Dine-in,12,38,NEW50,No,2024-02-02,2024-02,Friday,13,606,62.56,-13.560000000000002,0,5.84,High,0,0
67,ORD00068,2024-10-03 11:03:00,CUST02614,Mumbai,REST188,Foodie's Corner,Fast Food,266,243,9.92,27,7,78,DP021,4,UPI,Delayed,18-25,Returning,Premium,Normal,Dine-in,15,37,TRYNEW,No,2024-10-03,2024-10,Thursday,11,82,66.68,11.319999999999993,1,7.86,Low,1,0
68,ORD00069,2024-01-10 23:43:00,CUST01130,Mumbai,REST153,Spice Hub,Biryani,511,202,7.8,19,9,39,DP024,4,Card,Delivered,36-45,Returning,Regular,Swiggy One,Cloud Kitchen,5,37,NONE,No,2024-01-10,2024-01,Wednesday,23,360,50.2,-11.200000000000003,0,5.0,Mid,1,0
69,ORD00070,2024-01-07 01:15:00,CUST01501,Mumbai,REST180,Taste of India,Biryani,353,202,7.87,22,25,23,DP045,5,UPI,Cancelled,26-35,Returning,Premium,Normal,Cloud Kitchen,5,14,FESTIVE30,No,2024-01-07,2024-01,Sunday,1,195,53.480000000000004,-30.480000000000004,0,2.92,Low,1,0
70,ORD00071,2024-06-10 03:11:00,CUST00703,Delhi,REST024,Taste of India,Chinese,1319,26,8.89,14,29,57,DP047,3,Card,Cancelled,36-45,Returning,Budget,Normal,Franchise,9,10,FESTIVE30,No,2024-06-10,2024-06,Monday,3,1341,49.56,7.439999999999998,1,6.41,Very High,1,0
71,ORD00072,2024-02-09 10:54:00,CUST02450,Pune,REST003,Dragon Bowl,Fast Food,593,117,1.1,32,21,24,DP020,4,Card,Cancelled,26-35,Returning,Premium,Normal,Dine-in,10,14,FESTIVE30,No,2024-02-09,2024-02,Friday,10,521,36.4,-12.399999999999999,0,21.82,High,1,0
72,ORD00073,2024-05-15 09:36:00,CUST02778,Hyderabad,REST170,Taste of India,Italian,876,225,4.9,22,17,71,DP029,1,COD,Delayed,46-60,New,Budget,Normal,Franchise,11,16,NONE,Yes,2024-05-15,2024-05,Wednesday,9,695,41.6,29.4,1,14.49,High,1,1
73,ORD00074,2024-06-01 13:08:00,CUST01580,Bangalore,REST160,Burger Street,Chinese,1010,204,11.57,18,16,47,DP018,2,UPI,Delivered,46-60,Returning,Regular,Normal,Dine-in,4,25,FESTIVE30,No,2024-06-01,2024-06,Saturday,13,851,64.28,-17.28,0,4.06,High,1,0
74,ORD00075,2024-06-11 12:40:00,CUST00162,Kolkata,REST164,Italiano Kitchen,North Indian,1470,246,3.47,10,6,23,DP003,3,COD,Delivered,36-45,Returning,Premium,Normal,Cloud Kitchen,11,36,NONE,No,2024-06-11,2024-06,Tuesday,12,1277,23.880000000000003,-0.8800000000000026,0,6.63,Very High,1,0
75,ORD00076,2024-05-04 05:44:00,CUST00202,Delhi,REST085,Biryani House,Chinese,1017,48,6.74,35,17,68,DP047,5,Card,Delayed,46-60,New,Budget,Normal,Cloud Kitchen,13,40,FESTIVE30,Yes,2024-05-04,2024-05,Saturday,5,1039,61.96,6.039999999999999,1,10.09,Very High,1,1
76,ORD00077,2024-08-30 20:06:00,CUST01982,Pune,REST089,Spice Hub,Desserts,916,252,2.52,38,9,27,DP050,2,Card,Delivered,26-35,Returning,Regular,Normal,Franchise,10,37,FESTIVE30,No,2024-08-30,2024-08,Friday,20,720,48.08,-21.08,0,10.71,High,1,0
77,ORD00078,2024-12-21 10:44:00,CUST00996,Bangalore,REST091,Burger Street,Italian,1404,77,4.22,31,25,38,DP033,4,COD,Delivered,26-35,Returning,Budget,Normal,Cloud Kitchen,12,18,TRYNEW,No,2024-12-21,2024-12,Saturday,10,1382,47.879999999999995,-9.879999999999995,0,9.0,Very High,1,0
78,ORD00079,2024-11-14 19:27:00,CUST02318,Kolkata,REST013,Spice Hub,Fast Food,1376,256,8.75,15,19,76,DP018,4,COD,Cancelled,36-45,Returning,Budget,Normal,Franchise,8,28,TRYNEW,No,2024-11-14,2024-11,Thursday,19,1175,50.0,26.0,1,8.69,Very High,1,0
79,ORD00080,2024-04-08 12:43:00,CUST00816,Kolkata,REST193,Spice Hub,South Indian,511,119,7.9,10,26,54,DP037,3,COD,Delivered,36-45,Returning,Budget,Normal,Cloud Kitchen,14,31,SAVE20,No,2024-04-08,2024-04,Monday,12,463,41.6,12.399999999999999,1,6.84,Mid,1,0
80,ORD00081,2024-08-09 13:39:00,CUST00456,Hyderabad,REST017,Taste of India,Biryani,544,34,5.26,27,21,73,DP021,2,Card,Delayed,26-35,Returning,Regular,Normal,Cloud Kitchen,7,23,TRYNEW,No,2024-08-09,2024-08,Friday,13,561,48.04,24.96,1,13.88,High,1,0
81,ORD00082,2024-04-12 17:41:00,CUST01276,Chennai,REST048,Taste of India,Bakery,397,142,11.29,36,12,70,DP044,4,UPI,Delivered,18-25,Returning,Regular,Normal,Franchise,4,13,FESTIVE30,No,2024-04-12,2024-04,Friday,17,284,81.16,-11.159999999999997,0,6.2,Mid,1,0
82,ORD00083,2024-08-04 02:19:00,CUST01017,Mumbai,REST100,Spice Hub,South Indian,1063,196,9.41,25,6,78,DP019,3,Card,Cancelled,18-25,Returning,Budget,Normal,Franchise,7,16,FESTIVE30,No,2024-08-04,2024-08,Sunday,2,896,62.64,15.36,1,8.29,High,1,0
83,ORD00084,2024-05-02 09:26:00,CUST02344,Ahmedabad,REST146,Italiano Kitchen,South Indian,910,259,3.58,17,22,74,DP023,2,Card,Cancelled,26-35,Returning,Premium,Normal,Cloud Kitchen,6,12,SAVE20,No,2024-05-02,2024-05,Thursday,9,691,31.32,42.68,1,20.67,High,1,0
